Database Name	operetta
Database Link	http://10.45.1.197/ODA/OdaService.asmx
Evaluation Signature	65935749-3351-4568-98c5-2890f5477697
Plate Name	MDAWT2H-2
Measurement	Measurement 1
Evaluation	Evaluation4
Population	Population - Cyto Selected

[Data]
Row	Column	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	Cyto Selected - Object No in Nuclei	Cyto Selected - nuclear_areainum2n Area [µm²]	Cyto Selected - Object No in Nuclei Selected	Cyto Selected - Cytoplasm_areaum2 Area [µm²]	Cyto Selected - Intensity Nucleus Alexa 488 Mean	Cyto Selected - Intensity Nucleus Alexa 555 Mean	Cyto Selected - Intensity Cytoplasm Alexa 488 Mean	Cyto Selected - Intensity Cytoplasm Alexa 555 Mean	Cyto Selected - Total Spot Area	Cyto Selected - Relative Spot Intensity	Cyto Selected - Number of Spots	Cyto Selected - Number of Spots per Area of Cytoplasm	Cyto Selected - Spots Area [µm²]	Cyto Selected - Formula	
5	3	0	13	8	929	177	[908,150,948,202]	233.43	-1075.66					9	188.671	9	298.581	7365.46	2620.7	3475.13	2127.22	95	0.0197581	2	0.00239808	34.011	0.318172	
5	3	0	13	9	989	286	[969,265,1012,336]	270.56	-1148.54					10	229.843	10	598.235	6952.67	2421.63	4620.65	2237.81	290	0.0480534	5	0.00299222	103.823	0.484759	
5	3	0	13	10	118	347	[98,324,138,388]	-251.81	-1179.53					11	194.042	11	425.674	3797.95	1901.04	2497.04	1772.09	50	0.00544278	3	0.00252313	17.9005	0.117461	
5	3	0	13	11	524	452	[496,430,543,476]	-11.03	-1240.16					12	158.241	12	361.232	5447.31	2489.67	4097.68	2312.09	243	0.121404	7	0.00693756	86.9965	0.672697	
5	3	0	13	12	646	527	[623,504,665,559]	61.72	-1287.78					13	162.179	13	322.209	5840.83	2327.28	3798	2139.29	196	0.0830134	4	0.00444444	70.17	0.6083	
5	3	0	13	13	612	797	[585,772,646,822]	45.31	-1446.64					14	241.657	14	520.189	8122.65	2668.85	4499.94	2197.22	239	0.0539057	7	0.00481762	85.5645	0.459448	
5	3	0	13	14	260	977	[237,960,280,995]	-167.3	-1553.2					15	188.671	15	219.818	10307.8	3194.76	4160.25	2037.77	0	0	0	0	0	0	
5	3	0	13	15	224	990	[188,964,245,1012]	-191.6	-1562.87					16	159.673	16	424.6	6627.37	2463.21	3870.66	2089.29	228	0.0515202	5	0.00421585	81.6264	0.536976	
5	3	0	19	1	467	113	[437,88,486,133]	-691.37	-1683.74					1	121.007	1	283.186	5871.34	2310.16	3590.85	2053.26	120	0.0234529	3	0.00379267	42.9612	0.42375	
5	3	0	19	2	883	695	[870,682,897,709]	-439.98	-2030.69					2	123.872	2	98.0948	6741.97	2927.05	3755.28	2300.42	88	0.141894	4	0.0145985	31.5049	0.897091	
5	3	0	19	3	423	67	[392,48,455,96]	-715.25	-1655.68					3	231.633	3	453.957	4279.69	2005.66	2622.27	1863.71	0	0	0	0	0	0	
